c1cc([CX3])c(N(=O)=O)cc1 ,ortho nitro alkyl benzene,
c1cc(Cl)c(C(=O)O)cc1 ,ortho ester cloro benzene,
c1cc([O!H])c(C(=O)O)cc1 ,ortho ester ether benzene,
c1cc(F)c(C(=O)O)cc1 ,ortho ester flouro benzene,
c1cc(Br)c(C(=O)O)cc1 ,ortho ester bromo benzene,
c1cc(I)c(C(=O)O)cc1 ,ortho ester iodo benzene,
c1cc([OH])c(C(=O)O)cc1 ,ortho ester hydroxy benzene,
c1cc([CX3])c(C(=O)O)cc1 ,ortho ester alkyl benzene,
c1cc(Cl)c(C(=O)N)cc1 ,ortho amide cloro benzene,
c1cc([O!H])c(C(=O)N)cc1 ,ortho amide ether benzene,
c1cc(F)c(C(=O)N)cc1 ,ortho amide flouro benzene,
c1cc(Br)c(C(=O)N)cc1 ,ortho amide bromo benzene,
c1cc(I)c(C(=O)N)cc1 ,ortho amide iodo benzene,
c1cc([OH])c(C(=O)N)cc1 ,ortho amide hydroxy benzene,
c1cc([CX3])c(C(=O)N)cc1 ,ortho amide alkyl benzene,
c1cc(Cl)cncc1 ,ortho chloro pyridine,
c1cc([O!H])cnc1 ,ortho ether pyridine,
c1cc(F)ncc1 ,ortho flouro pyridine,
c1cc(Br)ncc1 ,ortho bromo pyridine,
c1cc(I)ncc1 ,ortho iodo pyridine,
c1cc([OH])ncc1 ,ortho hydroxy pyridine,
c1cc([CX3])ncc1 ,ortho alkyl pyridine,
c1c(Cl)cc(N(=O)=O)cc1 ,meta nitro cloro benzene,
c1c([O!H])cc(N(=O)=O)cc1 ,meta nitro ether benzene,
c1c(F)cc(N(=O)=O)cc1 ,meta nitro flouro benzene,
c1c(Br)cc(N(=O)=O)cc1 ,meta nitro bromo benzene,
c1c(I)cc(N(=O)=O)cc1 ,meta nitro iodo benzene,
c1c([OH])cc(N(=O)=O)cc1 ,meta nitro hydroxy benzene,
c1c([CX3])cc(N(=O)=O)cc1 ,meta nitro alkyl benzene,
c1c(Cl)cc(C(=O)O)cc1 ,meta ester cloro benzene,
c1c([O!H])cc(C(=O)O)cc1 ,meta ester ether benzene,
c1c(F)cc(C(=O)O)cc1 ,meta ester flouro benzene,
c1c(Br)cc(C(=O)O)cc1 ,meta ester bromo benzene,
c1c(I)cc(C(=O)O)cc1 ,meta ester iodo benzene,
c1c([OH])cc(C(=O)O)cc1 ,meta ester hydroxy benzene,
c1c([CX3])cc(C(=O)O)cc1 ,meta ester alkyl benzene,
c1c(Cl)cc(C(=O)N)cc1 ,meta amide cloro benzene,
c1c([O!H])cc(C(=O)N)cc1 ,meta amide ether benzene,
c1c(F)cc(C(=O)N)cc1 ,meta amide flouro benzene,
c1c(Br)cc(C(=O)N)cc1 ,meta amide bromo benzene,
c1c(I)cc(C(=O)N)cc1 ,meta amide iodo benzene,
c1c([OH])cc(C(=O)N)cc1 ,meta amide hydroxy benzene,
c1c([CX3])cc(C(=O)N)cc1 ,meta amide alkyl benzene,
c1c(Cl)cncc1 ,meta chloro pyridine,
c1c([O!H])cncc1 ,meta ether pyridine,
c1c(F)cncc1 ,meta flouro pyridine,
c1c(Br)cncc1 ,meta bromo pyridine,
c1c(I)cncc1 ,meta iodo pyridine,
c1c([OH])cncc1 ,meta hydroxy pyridine,
c1c([CX3])cncc1 ,meta alkyl pyridine,
c1c([CX3])cc([#4](O)O)cc1 ,meta alkyl aryl boronic acid,
c1c([O!H])cc([#4](O)O)cc1 ,meta ether aryl boronic acid,
c1c([Cl])cc([#4](O)O)cc1 ,meta chloro aryl boronic acid,
c1c([F])cc([#4](O)O)cc1 ,meta flouro aryl boronic acid,
c1c([Br])cc([#4](O)O)cc1 ,meta bromo aryl boronic acid,
c1c([I])cc([#4](O)O)cc1 ,meta iodo aryl boronic acid,
c1c([OH])cc([#4](O)O)cc1 ,meta hydroxy aryl boronic acid,
c1cc([CX3])c([#4](O)O)cc1 ,ortho alkyl aryl boronic acid,
c1cc([Cl])c([#4](O)O)cc1 ,ortho chloro aryl boronic acid,
c1cc([O!H])c([#4](O)O)cc1 ,ortho ether aryl boronic acid,
c1cc([F])c([#4](O)O)cc1 ,ortho flouro aryl boronic acid,
c1cc([Br])c([#4](O)O)cc1 ,ortho bromo aryl boronic acid,
c1cc([I])c([#4](O)O)cc1 ,ortho iodo aryl boronic acid,
c1cc([OH])c([#4](O)O)cc1 ,ortho hydroxy aryl boronic acid,
